,n,m,Original_1,TDA_1,Original_2,TDA_2,Original_3,TDA_3,Original_4,TDA_4
0,736,42,32436.377215405297,6.860523609872459,83428.46664673019,14.590171055818004,144760.12733467712,13.448581851476902,219512.95237663493,12.717040180948944
1,581,35,26636.832396580998,13.089831331842303,67015.75453559155,8.967860117887088,115247.96525887406,11.831959915284012,168979.30332973183,10.445536323197766
2,354,68,19637.918835613225,34.98261686887464,50690.12465825984,15.380870447001946,86637.91773060635,19.44024944287452,115106.23927281659,15.182579824990968
3,718,74,45570.59859888492,16.383719089581874,131944.78631751376,18.33739424567067,226931.2302481884,10.898413053348653,317421.04030707,9.760299885599492
4,534,30,20537.935406097422,8.345895703540425,53144.55398498097,10.25959418033766,93944.4036353078,13.306492153143031,140486.9753713717,11.295538015880654
5,985,31,33720.294983755404,11.23298350894808,94880.72363514277,11.46764590732174,182157.16631280156,14.352647402612481,278814.6103052855,14.083441161277321
6,903,49,39040.29650892306,16.87021237904449,107540.09530796313,10.450672767550767,200442.50225084252,18.58092995094349,301060.80418617,11.742195259959678
7,603,69,37817.396930358416,29.60066080330221,101794.54917995143,12.140177743489422,176356.3950628063,17.483470478631013,251619.75449501508,15.16319912842243
8,358,53,20109.827364930126,14.564428516065028,52110.429746453825,12.217543795231029,81016.42712999119,10.859307410206204,107898.58507819936,11.15146023192877
9,599,31,24535.707674912275,22.174273024211796,61654.52715718678,16.09391057166273,110780.04381038538,24.95409912393087,165260.49028451164,19.042904979132
10,469,93,28422.755640897398,11.029964390797167,81080.8285507864,18.559376142841888,145997.86910525424,20.83123600008207,207133.31967120856,15.470408260609227
11,982,69,50561.080359890846,7.8492741192824935,148820.37017147482,14.29597449319208,263639.57154876285,12.91785465859003,394923.1355357243,10.931259720434554
12,489,84,29136.45948165419,16.312363151477108,82203.96972796826,18.62243191288326,145684.18043241577,14.838224357003375,206178.49073968362,13.69649885416594
13,908,78,52019.177365784206,16.465280996209618,150094.57904224657,12.304581584403026,278802.5562241978,13.85041846717593,405185.80829359684,10.494211172067713
14,382,80,22465.99663626621,16.808735290444393,64496.79108089117,19.02066264389049,106837.92589802928,19.090544445972295,146277.53299531102,20.126183974842455
15,680,53,31861.53997477684,8.505961179967162,89344.67443451176,10.858718241615987,159577.19522704172,10.838963690401298,232592.5955614912,9.479668292594349
16,617,90,36513.71988766222,11.990961738788805,110379.08470188158,15.898732801342428,201144.81921790141,14.313698407227015,294612.2689076601,20.494312389824852
17,288,44,15376.443151260093,11.159927969726748,35129.402730037196,8.396678239309756,52405.977494416606,11.34484109026309,68317.60823950348,8.495434008877686
18,954,45,35096.17036854992,19.02054418487096,105803.0246548273,18.714959894293507,197203.32802709148,18.840701711320467,306160.32504616916,20.61289275216744
19,848,48,40696.94669563441,5.929861294919772,104276.34624889106,11.346771273106246,188811.68581581174,15.368123169736322,284436.5637784763,12.435015871814525
20,697,85,46707.415927449896,14.573976433128827,134023.51057487904,17.350819548484985,231207.08583655904,16.25863800946016,327196.77595199965,18.487967325933834
21,228,41,10282.543879513354,16.957470779249068,22446.098506868722,10.69073259563342,33240.41185562681,15.89323246424223,43136.302017111026,9.353637878740303
22,511,73,30692.07153849125,18.637685962933965,86008.39154020762,12.786682060646871,149632.50897271998,14.707130198597367,207078.34723064088,18.95045204197417
23,448,21,14909.207316864711,17.51600824574537,38699.42490835352,12.907489693611423,69711.49025629638,18.01394643257154,103936.66919225079,13.201183850644144
24,741,90,49332.919551072075,8.248971941209144,140889.99746923163,12.668410015775702,261653.06326081677,14.075182729717087,376310.39700707636,15.323938988260071
25,776,82,46359.84465073783,20.122114522247998,139438.5131815498,11.838989858163098,254083.7261391021,10.226844885918327,373502.20853936224,15.107348431800522
26,936,53,47326.84365652973,9.00384229662677,130479.7873118995,10.974178817643345,224645.00004157683,6.85575072402246,334792.58977806533,11.59803667846047
27,263,64,13372.940439251068,37.53376781053999,33029.482011920154,16.930908620413117,53552.64022439316,17.215588539408213,68178.97218938504,16.952374652039158
28,367,94,19710.086472787298,24.507539067325375,58877.24563845095,30.34074196653981,100502.21739294466,23.91728797201786,141634.41904118558,28.882607068967804
29,689,28,24158.087585452082,31.576746077956088,64243.444770368595,12.804588075299574,116738.45628334045,13.891076014482765,178236.6497046967,18.698473261704347
